"SGG 행정구역별",T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개)
"SGG 행정구역별",Y2011 2011,Y2012 2012,Y2013 2013,Y2014 2014,Y2015 2015,Y2016 2016,Y2017 2017,Y2018 2018,Y2019 2019,Y2020 2020,Y2021 2021
"37330 청송군",23,17,20,52,17,14,11,13,13,14,13
"37340 영양군",7,8,12,8,8,8,8,6,6,7,8
"37350 영덕군",37,33,33,30,30,31,31,27,28,24,26
"37360 청도군",42,37,34,37,33,29,32,29,27,28,26
"37370 고령군",22,24,24,81,23,23,25,23,20,18,18
"37380 성주군",34,33,35,32,30,28,30,26,26,25,25
"37390 칠곡군",180,174,172,176,184,197,189,181,173,173,171
"37400 예천군",37,39,38,35,36,33,33,47,60,67,69
"37410 봉화군",17,22,20,15,15,13,13,13,12,12,12
"37420 울진군",61,60,51,220,56,56,56,51,50,52,54
"37430 울릉군",4,4,3,10,3,2,2,2,2,1,1
"38 경상남도",5970,5916,5662,5885,5945,5907,6052,5976,5972,5972,5995
"38030 진주시",922,851,806,764,792,800,862,872,866,867,876
"38050 통영시",236,242,230,234,236,217,236,222,224,223,220
"38060 사천시",234,225,218,211,216,215,204,204,206,203,200
"38070 김해시",1136,1128,1012,1014,1145,1150,1155,1118,1141,1129,1126
"38080 밀양시",174,171,160,158,166,150,145,142,147,143,141
"38090 거제시",426,468,447,412,452,449,461,449,437,430,429
"38100 양산시",418,401,418,425,455,463,495,537,559,579,597
"38110 창원시",1852,1851,1817,1986,1952,1947,1946,1941,1922,1943,1959
"38310 의령군",21,21,19,19,20,20,19,19,17,17,16
"38320 함안군",75,76,68,204,73,75,82,79,78,77,72
"38330 창녕군",70,72,67,58,65,59,57,56,50,49,50
"38340 고성군",79,79,78,80,75,71,69,70,68,64,64
"38350 남해군",50,46,48,46,44,44,86,44,45,41,43
"38360 하동군",49,55,55,59,43,41,42,39,39,35,33
"38370 산청군",27,26,28,24,24,26,24,21,23,22,19
"38380 함양군",58,60,55,52,49,46,44,39,40,40,39
"38390 거창군",100,105,95,99,97,92,84,85,78,79,83
"38400 합천군",43,39,41,40,41,42,41,39,32,31,28
"39 제주특별자치도",957,980,978,999,1006,996,994,1017,1026,1051,1095
"39010 제주시",784,805,807,832,840,830,829,847,853,860,890
"39020 서귀포시",173,175,171,167,166,166,165,170,173,191,205
